校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
101001,1,52010198,13,15,15,13,15,71
101001,2,52010314,12,15,15,14,14,70
101001,3,52010290,11,13,15,15,15,69
101001,4,52010114,12,15,14,13,14,68
101001,5,52010014,11,13,15,14,15,68
101001,6,52010266,14,15,13,12,14,68
101001,7,52010162,13,13,14,13,15,68
101001,8,52010142,11,14,14,14,15,68
101001,9,52010158,12,14,14,13,14,67
101001,10,52010022,11,14,14,14,14,67
101001,11,52010146,11,14,15,13,13,66
101001,12,52010429,12,13,13,13,15,66
101001,13,52010246,12,14,13,13,14,66
101001,14,52010230,12,13,14,14,13,66
101001,15,52010357,11,14,14,14,13,66
101001,16,52010166,12,14,14,12,14,66
101001,17,52010194,13,15,13,11,14,66
101001,18,52010010,12,13,14,13,13,65
101001,19,52010390,10,14,14,13,14,65
101001,20,52010186,13,14,13,12,13,65
101001,21,52010414,11,12,14,14,14,65
101001,22,52010426,10,13,15,12,15,65
101001,23,52010435,9,15,14,13,14,65
101001,24,52010054,10,12,15,14,13,64
101001,25,52010234,11,12,15,13,13,64
101001,26,52010387,13,14,14,10,13,64
101001,27,52010038,11,11,14,13,15,64
101001,28,52010294,14,14,11,12,13,64
101001,29,52010333,12,13,13,11,14,63
101001,30,52010330,12,12,14,11,14,63
101001,31,52010174,11,14,12,13,13,63
101001,32,52010274,11,10,14,13,15,63
101001,33,52010126,12,13,14,12,12,63
101001,34,52010082,11,14,13,12,13,63
101001,35,52010122,11,13,14,12,13,63
101001,36,52010042,10,13,12,13,15,63
101001,37,52010086,11,11,12,14,14,62
101001,38,52010170,13,14,12,10,13,62
101001,39,52010002,10,12,13,13,14,62
101001,40,52010411,11,11,12,14,14,62
101001,41,52010318,10,11,15,13,13,62
101001,42,52010138,10,13,15,13,11,62
101001,43,52010378,9,14,13,12,13,61
101001,44,52010214,11,12,11,14,13,61
101001,45,52010354,10,14,13,11,13,61
101001,46,52010046,12,11,11,12,14,60
101001,47,52010321,10,13,12,11,14,60
101001,48,52010342,12,10,12,13,13,60
101001,49,52010471,10,14,11,13,12,60
101001,50,52010034,10,13,10,13,14,60
101001,51,52010402,11,12,11,12,13,59
101001,52,52010190,12,12,11,10,12,57
101001,53,52010074,11,8,11,9,12,51
101001,54,52010482,5,5,5,5,6,26
